# Hatalı Linkler Listesi Veri Seti (Ders Adı | Hafta | Konu/Bağlam | Link)

    "BMSB428 Gömülü Sistemler|4. Hafta|Gömülü Sistemlerde Kesmeler (Interrupts)|https://ugrdmr.wordpress.com/2015/06/20/deneme/"
    "BMSB428 Gömülü Sistemler|5. Hafta|Gömülü Sistem İletişim Protokolleri|https://www-opal--rt-com.translate.goog/blog/6-types-of-communication-protocols-in-embedded-systems/?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB428 Gömülü Sistemler|6. Hafta|Gerçek Zamanlı İşletim Sistemleri (RTOS)|    "BMSB428 Gömülü Sistemler|6. Hafta|Gerçek Zamanlı İşletim Sistemleri (RTOS)|https://www-ibm-com.translate.goog/think/topics/real-time-operating-system?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
"
    "BMSB428 Gömülü Sistemler|9. Hafta|Gömülü Sistemlerde Sensör Kullanımı|https://circuitcellar-com.translate.goog/research-design-hub/basics-of-design/sensor-solutions-for-embedded-systems/?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB428 Gömülü Sistemler|10. Hafta|Gömülü Çevre Birimleri (Peripherals)|https://revantechnology.com/blog/haberlesme-protokolleri/"
    "BMSB428 Gömülü Sistemler|11. Hafta|Mikrodenetleyicilerle LCD (16x2) Arayüzü|https://www.allaboutcircuits.com/technical-articles/how-to-a-162-lcd-module-with-an-mcu/"
    "BMSB402 Görüntü İşleme|2. Hafta|Görüntü Dönüşümleri (Image Transformation)|https://www-sciencedirect-com.translate.goog/topics/computer-science/image-transformation?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB402 Görüntü İşleme|3. Hafta|Görüntü İşlemede Filtreleme Kavramları|https://pulsar.com.tr/robotik/goruntu-isleme-filtreleri-nedir-ve-cesitleri-nelerdir/"
    "BMSB402 Görüntü İşleme|4. Hafta|Görüntü Restorasyonu|https://www-sciencedirect-com.translate.goog/topics/computer-science/image-restoration?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB402 Görüntü İşleme|6. Hafta|Fourier Dönüşümü (Fourier Transform)|https://tr.wikipedia.org/wiki/Fourier_d%C3%B6n%C3%BC%C5%9F%C3%BCm%C3%BC"
    "BMSB402 Görüntü İşleme|7. Hafta|Yüksek Geçiren (High Pass) ve Alçak Geçiren (Low Pass) Filtreler|https://tr.wikipedia.org/wiki/Y%C3%BCksek_ge%C3%A7iren_filtre"
    "BMSB402 Görüntü İşleme|10. Hafta|Geometrik Dönüşüm Kavramları|https://tr.wikipedia.org/wiki/D%C3%B6n%C3%BC%C5%9F%C3%BCm_geometrisi"
    "BMSB402 Görüntü İşleme|12. Hafta|Renkli Görüntü İşleme (Color Image Processing)|https://medium.com/@ebrukirikkayis/renkli-g%C3%B6r%C3%BCnt%C3%BC-i%CC%87%C5%9Fleme-a9f99bc3f7b8"
    "BMSB402 Görüntü İşleme|14. Hafta|Görüntü Sıkıştırma (Image Compression)|https://www-sciencedirect-com.translate.goog/topics/computer-science/image-compression?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB426 Proje Hazırlaması ve Yönetimi|1. Hafta|Proje Yönetimi Nedir?|https://www.pmi.org/about/what-is-project-management"
    "BMSB426 Proje Hazırlaması ve Yönetimi|2. Hafta|Proje Entegrasyon Yönetimi|https://business-adobe-com.translate.goog/blog/basics/integration-management?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB426 Proje Hazırlaması ve Yönetimi|3. Hafta|Proje Kapsam Yönetimi|https://tr.wikipedia.org/wiki/Kapsam_(proje_y%C3%B6netimi)"
    "BMSB426 Proje Hazırlaması ve Yönetimi|4. Hafta|Proje Zaman Yönetimi|https://aims-education.translate.goog/study-online/what-is-project-time-management/?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB426 Proje Hazırlaması ve Yönetimi|5. Hafta|Proje Maliyet Yönetimi|https://business-adobe-com.translate.goog/blog/basics/cost-management?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB426 Proje Hazırlaması ve Yönetimi|6. Hafta|Proje Kalite Yönetimi|https://business-adobe-com.translate.goog/blog/basics/quality-management?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB426 Proje Hazırlaması ve Yönetimi|7. Hafta|Proje İnsan Kaynakları Yönetimi|https://www.sem.etu.edu.tr/egitim/proje-uygulamali-insan-kaynaklari-yonetimi"
    "BMSB426 Proje Hazırlaması ve Yönetimi|8. Hafta|Proje Risk Yönetimi|https://projectmanagement-ie.translate.goog/blog/project-risk-management/?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB426 Proje Hazırlaması ve Yönetimi|10. Hafta|Proje Tedarik Yönetimi|https://www-geeksforgeeks-org.translate.goog/business-studies/what-is-project-procurement-management/?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true"
    "BMSB426 Proje Hazırlaması ve Yönetimi|11. Hafta|PMI Proje Yönetimi Makale Kütüphanesi|https://www.academia.edu/10347447/PMI_Proje_Y%C3%B6netimi_Yakla%C5%9F%C4%B1m%C4%B1"
    "BMSB426 Proje Hazırlaması ve Yönetimi|13. Hafta|Proje Sunumları ve İletişim Stratejileri|https://support.microsoft.com/tr-tr/topic/proje-y%C3%B6netim-hedefi-proje-bilgilerini-iletme-c56bd8ca-42df-45c4-9f84-ef0b33714d17"
    "BMSB426 Proje Hazırlaması ve Yönetimi|14. Hafta|Sprint Değerlendirmesi (Retrospective) Nedir?|https://batuhanakpunar.medium.com/b%C3%B6l%C3%BCm-13-sprint-retrospective-sprint-retrospectifi-toplant%C4%B1s%C4%B1-%EF%B8%8F-9e226853b137"
    "ATİ101 Atatürk İlkeleri ve İnkılâp Tarihi I|4. Hafta|I. Dünya Savaşı|https://tr.wikipedia.org/wiki/I._D%C3%BCnya_Sava%C5%9F%C4%B1"
    "ATİ101 Atatürk İlkeleri ve İnkılâp Tarihi I|11. Hafta|Türk Kurtuluş Savaşı|https://tr.wikipedia.org/wiki/T%C3%BCrk_Kurtulu%C5%9F_Sava%C5%9F%C4%B1"
    "BMB205 Elektrik Devre Temelleri|1. Hafta|Doğru Akım (DC) Devrelerine Giriş|https://www.electronics-tutorials.ws/dccircuits/dcp_1.html"
    "BMB205 Elektrik Devre Temelleri|2. Hafta|Elektrik Devre Elemanları|https://tr.wikipedia.org/wiki/Elektronik_devre_elemanlar%C4%B1"
    "BMB205 Elektrik Devre Temelleri|3. Hafta|Dirençler (Resistors)|https://www.electronics-tutorials.ws/resistor/res_1.html"
    "BMB205 Elektrik Devre Temelleri|4. Hafta|Yıldız-Üçgen (Star-Delta) Dönüşümü|https://www.javatpoint.com/star-delta-transformation"
    "BMB205 Elektrik Devre Temelleri|5. Hafta|DC Devre Analizi ve Teoremler|https://www.electronics-tutorials.ws/dccircuits/dcp_4.html"
    "BMB205 Elektrik Devre Temelleri|6. Hafta|Çevre Akımları Yöntemi (Mesh Analysis)|https://www.youtube.com/watch?v=0qzMXb8s4so&list=PL8bWVLVI4XKRsfeHaQDyHsyfdN86vNeBr"
    "BMB205 Elektrik Devre Temelleri|7. Hafta|Thevenin Teoremi|https://www.allaboutcircuits.com/textbook/direct-current/chpt-10/thevenins-theorem/"
    "BMB205 Elektrik Devre Temelleri|8. Hafta|Maksimum Güç Transferi Teoremi|https://devreyakan.com/maksimum-guc-transferi/"
    "BMB205 Elektrik Devre Temelleri|9. Hafta|İşlemsel Yükselteçlere (Op-Amp) Giriş|https://devreyakan.com/islemsel-yukseltecler-nedir-opamp-giris/"
    "BMB205 Elektrik Devre Temelleri|10. Hafta|Op-Amp Devre Uygulamaları|https://maker.robotistan.com/opamp/"
    "BMB205 Elektrik Devre Temelleri|11. Hafta|Kondansatörler (Capacitors)|https://tr.wikipedia.org/wiki/Kondansat%C3%B6r"
    "BMB205 Elektrik Devre Temelleri|12. Hafta|RL Devreleri ve İndüktörler|https://eee.sakarya.edu.tr/sites/eee.sakarya.edu.tr/file/03_RL_ve_RC_Devreleri.pdf"
    "BMB205 Elektrik Devre Temelleri|13. Hafta|RC Devreleri|https://tr.wikipedia.org/wiki/RC_devresi"
    "BMB205 Elektrik Devre Temelleri|14. Hafta|Seri Rezonans Devreleri|https://devreyakan.com/seri-rezonans-devresi/"
    "BMB203 Nesneye Yönelik Programlama|4. Hafta|Sınıflar, Yapılar ve Kayıtlar (Classes & Structs)|https://learn.microsoft.com/tr-tr/dotnet/csharp/fundamentals/object-oriented/"
    "BMB203 Nesneye Yönelik Programlama|7. Hafta|Arayüzler (Interfaces)|https://medium.com/@enesozpolat_61576/javada-aray%C3%BCzler-interfaces-f0ce4ae50cab"
    "SYA003 Sayısal Analiz|1. Hafta|Sayısal Yöntemlerde Hata Analizi|https://acikders.ankara.edu.tr/pluginfile.php/71484/mod_resource/content/1/Say%C4%B1sal%20Analiz.pdf"
    "SYA003 Sayısal Analiz|2. Hafta|Sonlu Farklar Yöntemi (Finite Difference)|https://en-wikipedia-org.translate.goog/wiki/Finite_difference_method?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "SYA003 Sayısal Analiz|6. Hafta|Doğrusal Denklem Sistemlerinin Çözümü|https://matrixcalc.org/tr/slu.html"
    "SYA003 Sayısal Analiz|10. Hafta|Doğrusal Denklem Sistemleri İleri Çözüm Yöntemleri|https://en-wikibooks-org.translate.goog/wiki/Numerical_Methods/Solution_of_Linear_Equation_Systems?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "SYA003 Sayısal Analiz|11. Hafta|Özdeğer Hesaplama Algoritmaları|https://bilgisayarkavramlari.com/2008/12/29/ozdegerlerin-hesaplanmasi-eigenvalue-calculation/"
    "BMB207 Veritabanı Yönetimi|1. Hafta|Veritabanı Yönetim Sistemlerine Giriş|https://www-geeksforgeeks-org.translate.goog/dbms/introduction-of-dbms-database-management-system-set-1/?_x_tr_hist=true&_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMB207 Veritabanı Yönetimi|7. Hafta|Veritabanı Normalizasyonu (Normalization)|https://www-ibm-com.translate.goog/think/topics/database-normalization?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMB207 Veritabanı Yönetimi|13. Hafta|MySQL Veritabanı Belgelendirmesi|https://aws.amazon.com/tr/rds/mysql/what-is-mysql/"

